-*- mode:org -*-

# buckpuck_current_controller.lst
| ref | value                |
|-----+----------------------|
| B1  | CURRENT_SENSOR_BOARD |
| B2  | CURRENT_SENSOR_BOARD |
| B3  | CURRENT_SENSOR_BOARD |
| B4  | CURRENT_SENSOR_BOARD |
| BP1 | BUCKPUCK             |
| BP2 | BUCKPUCK             |
| BP3 | BUCKPUCK             |
| BP4 | BUCKPUCK             |
| C1  | 10uF                 |
| C2  | 10uF                 |
| C3  | 10uF                 |
| C4  | 0.33uF               |
| C5  | 0.1uF                |
| C6  | 0.1uF                |
| P1  | POWER                |
| P2  | ResetOverride        |
| P3  | Display              |
| P4  | Switches             |
| P5  | CONN_1               |
| P6  | CONN_1               |
| P7  | CONN_1               |
| P8  | CONN_1               |
| P9  | CurrentOutput        |
| P10 | CurrentOutput        |
| P11 | CurrentOutput        |
| P12 | CurrentOutput        |
| R1  | 68                   |
| RV1 | POT                  |
| RV2 | POT                  |
| RV3 | POT                  |
| RV4 | POT                  |
| U1  | V7809                |
| U2  | ARDUINO_NANO         |
| U3  | MCP42X1-PDIP         |
| U4  | MCP42X1-PDIP         |
| U5  | NOT_GATE             |

# Bill of Materials
| ! | part      | description                         | vendor            | part number       | quantity |   cost |
|---+-----------+-------------------------------------+-------------------+-------------------+----------+--------|
|   | PCB       | buckpuck_controller 2.0             | protoexpress      | afv1-59924        |        1 |  83.80 |
|   | B1-4      | ACS712 Low Current Sensor Breakout  | sparkfun          | SEN-08883         |        4 |  14.95 |
|   | B1-4      | CONN RECEPT 3POS .100 VERT AU       | digikey           | A26415-ND         |        4 |   0.95 |
|   | B1-4      | CONN RECEPT 4POS .100 VERT AU       | digikey           | A26416-ND         |        4 |   1.03 |
|   | BP1-4     | Buckpuck 1000mA external dimming    | ledsupply         | 3021-D-E-1000     |        4 |  16.44 |
|   | BP1-4     | CONN RECEPT 7POS .100 VERT AU       | digikey           | A26419-ND         |        8 |   1.30 |
|   | C1-3      | CAP CER 10UF 50V X7S 1210           | digikey           | 445-4536-1-ND     |        3 |   1.24 |
|   | C4        | CAP CERM .33UF 10% 50V X7R 1210     | digikey           | 478-1620-1-ND     |        1 |   1.21 |
|   | C5,6      | CAP CERM .10UF 10% 50V X7R 1210     | digikey           | 478-3586-1-ND     |        2 |  0.724 |
|   | P1,9-12   | CONN TERM BLOCK 2.54MM 2POS         | digikey           | 277-1273-ND       |        5 |  1.102 |
