-*- mode:org -*-

# buckpuck_current_controller.lst
| ref | value         |
|-----+---------------|
| B1  | BUFFER_EL5227 |
| BP1 | BUCKPUCK      |
| BP2 | BUCKPUCK      |
| BP3 | BUCKPUCK      |
| BP4 | BUCKPUCK      |
| C1  | 10uF          |
| C2  | 10uF          |
| C3  | 10uF          |
| C4  | 0.33uF        |
| C5  | 0.1uF         |
| C6  | 10uF          |
| C7  | 0.1uF         |
| C8  | 4.7uF         |
| C9  | 0.1uF         |
| C10 | 10uF          |
| C11 | 0.1uF         |
| D1  | AD57X4R       |
| P1  | POWER         |
| P2  | ResetOverride |
| P3  | Display       |
| P4  | I/O           |
| P5  | CONN_1        |
| P6  | CONN_1        |
| P7  | CONN_1        |
| P8  | CONN_1        |
| P9  | CurrentOutput |
| P10 | CurrentOutput |
| P11 | CurrentOutput |
| P12 | CurrentOutput |
| P13 | I/O           |
| R1  | 68            |
| RV1 | POT           |
| RV2 | POT           |
| RV3 | POT           |
| RV4 | POT           |
| U1  | V7809         |
| U2  | ARDUINO_NANO  |

# Bill of Materials
| ! | part      | description                             | vendor            | part number     | quantity |   cost |
|---+-----------+-----------------------------------------+-------------------+-----------------+----------+--------|
|   | PCB       | buckpuck_controller 3.0                 | protoexpress      | afv1-61777      |        1 |  28.00 |
|   | B1        | IC BUFFER RR 2.5MHZ OCT 20TSSOP         | digikey           | EL5227CRZ-ND    |        1 |   4.70 |
|   | BP1-4     | Buckpuck 1000mA external dimming        | ledsupply         | 3021-D-E-1000   |        4 |  16.44 |
|   | BP1-4     | CONN RECEPT 7POS .100 VERT AU           | digikey           | A26419-ND       |        8 |   1.30 |
|   | C1-3      | CAP CER 10UF 50V X7S 1210               | digikey           | 445-4536-1-ND   |        3 |   1.24 |
|   | C4        | CAP CERM .33UF 10% 50V X7R 1210         | digikey           | 478-1620-1-ND   |        1 |   1.21 |
|   | C5,7,9,11 | CAP CERM .10UF 10% 50V X7R 1210         | digikey           | 478-3586-1-ND   |        4 |   0.73 |
|   | C6,10     | CAP TANTALUM 10UF 25V 10% SMD           | digikey           | 493-4178-1-ND   |        2 |   1.11 |
|   | C8        | CAP TANT 4.7UF 25V 10% SMD              | digikey           | 718-1152-1-ND   |        1 |   1.03 |
|   | D1        | IC DAC 12BIT DSP/SRL 24TSSOP            | digikey           | AD5724RBREZ-ND  |        1 |  20.90 |
|   | P1        | CONN PWR JACK DC 2.1X5.5 8A T/H         | digikey           | CP-063AH-ND     |        1 |   1.55 |
|   | P1        | CABLE ASSY STR 2.1MM 6' 18 AWG          | digikey           | CP-2187-ND      |        1 |   3.42 |
|   | P1        | AC/DC Power 30 Volt 8A 240W             | jameco            | 2102473         |        1 |  59.95 |
|   | P1        | MODULE POWER ENTRY FLANGE 15A           | digikey           | CCM1906-ND      |        1 |  12.40 |
|   | P1        | LINE CORD 3 COND US                     | digikey           | 993-1039-ND     |        1 |   3.18 |
|   | P1        | Flat Head Screw M3 Size, 6mm            | mcmaster          | 92125A126       |        2 |   0.05 |
|   | P1        | Cap Screw M3 Size, 6 mm                 | mcmaster          | 92095A179       |        4 |   0.05 |
|   | P2        | CONN HEADER 4POS .100" DUAL TIN         | digikey           | SAM1034-02-ND   |        1 |   0.59 |
|   | P2        | CONN JUMPER SHORTING GOLD FLASH         | digikey           | S9001-ND        |        1 |   0.87 |
|   | P3        | Serial Graphic LCD 128x64               | sparkfun          | LCD-09351       |        1 |  34.95 |
|   | P3        | Jumper Wire - 0.1", 4-pin, 12"          | sparkfun          | PRT-10374       |        1 |   1.95 |
|   | P3        | CONN HEADER R/A DUAL 6POS GOLD          | digikey           | 3M9479-ND       |        1 |   0.31 |
