ref,value
ACS1,ACS712
ACS2,ACS712
ACS3,ACS712
ACS4,ACS712
BP1,BUCKPUCK
BP2,BUCKPUCK
BP3,BUCKPUCK
BP4,BUCKPUCK
C1,10uF
C2,10uF
C3,10uF
C4,0.33uF
C5,0.1uF
C6,0.1uF
C7,1uF
C8,0.1uF
C9,1uF
C10,0.1uF
C11,1uF
C12,0.1uF
C13,1uF
C14,0.1uF
C15,1uF
C16,0.1uF
C17,1uF
C18,0.1uF
C19,1uF
C20,0.1uF
C21,1uF
D1,BRIDGE
P1,POWER
P2,ResetOverride
P3,SetSwitch
P4,Display
P5,CurrentOutput
P6,OnOffSwitch
P7,CurrentOutput
P8,OnOffSwitch
P9,CurrentOutput
P10,OnOffSwitch
P11,CurrentOutput
P12,OnOffSwitch
P13,CONN_1
P14,CONN_1
P15,CONN_1
P16,CONN_1
P17,CONN_1
R1,68
R2,1.7k
R3,43k
R4,1.7k
R5,1.7k
R6,43k
R7,1.7k
R8,1.7k
R9,43k
R10,1.7k
R11,1.7k
R12,43k
R13,1.7k
RV1,POT
RV2,POT
RV3,POT
RV4,POT
U1,V7809
U2,ARDUINO_NANO
U3,LM321
U4,LM321
U5,LM321
U6,LM321
